MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,251,185,1210,2032525,5CDE8C26,20240929T123000,493013692089837385783644,20241006T080001,20241006T170514,362,269,117,37,65,34
71072,251,188,1210,2032367,5CDE8C26,20240929T124300,139477663253777013120543,20241006T080001,20241006T170651,365,248,105,41,52,35
71072,251,193,1210,2031901,5CDE8C26,20240929T130000,583922639098763297582997,20241006T080001,20241006T170744,362,247,104,48,48,27
71072,251,194,1210,2032384,5CDE8C26,20240929T130300,957659110935348643384180,20241006T080001,20241006T170559,360,274,115,38,60,41
71072,251,195,1210,2032864,5CDE8C26,20240929T130700,563720838396235683880979,20241006T080001,20241006T170630,364,254,114,33,55,37
71072,251,199,1589,2032338,5CDE8C26,20240929T140800,866750578126713928155459,20241006T080001,20241006T170757,393,274,113,41,51,54
71072,251,2,1015,1830810,8ECFEC90,20240924T125200,462710681118670149356648,20241006T080001,20241006T170128,369,244,110,43,53,23
71072,251,20,1600,1830069,8ECFEC90,20240924T181600,583922720330376911041602,20241006T080001,20241006T170221,334,207,105,21,35,26
71072,251,201,1589,2031981,5CDE8C26,20240929T142100,008164292040545598782599,20241006T080001,20241006T170356,396,269,117,38,55,40
71072,251,205,1228,2032243,16A754F4,20240927T151500,442508179830101163620293,20241006T080202,20241006T170414,287,185,80,29,41,29
71072,251,209,1228,2010220,16A754F4,20240927T153400,412205580627181641223808,20241006T080001,20241006T170343,291,184,74,25,44,29
71072,251,215,1619,2345302,5CDE8C26,20240929T155300,523316321992583958646273,20241006T080001,20241006T170251,363,252,104,37,63,35
71072,251,217,1619,2345177,5CDE8C26,20240929T155900,472811492287954450715850,20241006T080001,20241006T170255,364,242,100,40,58,32
71072,251,233,1058,1830679,FEE94F8D,20240925T133900,594023315793314280227225,20241006T080007,20241006T170108,251,170,69,32,39,23
71072,251,241,1309,2344275,2222A31B,20240930T153200,695033262466802818353479,20241006T080001,20241006T170132,324,240,117,42,38,28
71072,251,248,1511,2032912,5CDE8C26,20240929T134100,614225952201220681987799,20241006T080001,20241006T170311,399,306,133,47,53,44
71072,251,251,1503,1817303,FEE94F8D,20240925T175500,159679790249211064984982,20241006T080001,20241006T170645,382,280,121,43,48,44
71072,251,252,1600,1812030,8ECFEC90,20240924T182400,644528399136387546772022,20241006T080001,20241006T170408,330,232,99,32,46,38
71072,251,253,1511,2032526,5CDE8C26,20240929T134500,230487090363121844246082,20241006T080001,20241006T170400,399,295,129,29,76,38
71072,251,257,1511,2031896,5CDE8C26,20240929T134900,846548145324013907057290,20241006T080001,20241006T170121,396,297,134,46,55,44
71072,251,258,1503,1824536,FEE94F8D,20240925T180400,725336131706370100288585,20241006T080001,20241006T170614,382,284,114,44,59,46
71072,251,263,1503,1830632,FEE94F8D,20240925T181500,755639686609563606144320,20241006T080001,20241006T170854,378,263,115,41,47,41
71072,251,266,1503,1830997,FEE94F8D,20240926T112100,684932949102621153290499,20241006T080001,20241006T170652,379,276,122,48,49,39
71072,251,268,1309,2339774,2222A31B,20240930T153700,472811956244931954413001,20241006T080001,20241006T170205,325,228,112,37,39,26
71072,251,269,1309,2339219,2222A31B,20240930T154100,583922171755710811045470,20241006T080001,20241006T170220,326,231,104,32,44,36
71072,251,271,1309,2339097,2222A31B,20240930T155300,220386003719585064383186,20241006T080001,20241006T170050,322,227,104,27,44,40
71072,251,274,1279,2347406,4F3CA5C7,20241002T165800,765740870428517495102024,20241006T080108,20241006T170207,371,289,128,36,40,67
71072,251,275,1503,1831666,FEE94F8D,20240926T113000,654629873499614349118702,20241006T080001,20241006T170110,382,284,124,36,56,48
71072,251,277,1511,2033374,5CDE8C26,20240929T135800,361700804876552686670893,20241006T080001,20241006T170213,397,306,164,46,31,44
71072,251,279,1163,2032487,16A754F4,20240926T155500,796043452765728534194182,20241006T080001,20241006T170221,394,288,131,46,50,44
71072,251,282,1163,2032556,16A754F4,20240926T155900,432407395629648040432333,20241006T080001,20241006T170250,395,271,117,40,67,35
71072,251,283,1309,2337699,2222A31B,20240930T160100,301194378727181521597445,20241006T080001,20241006T170117,324,225,100,42,36,34
71072,251,285,1503,1832649,FEE94F8D,20240926T114000,796043086213849011889890,20241006T080001,20241006T170340,380,280,127,39,52,37
71072,251,290,1252,1830902,FEE94F8D,20240925T171100,614225424095037944883719,20241006T080001,20241006T170439,355,250,105,33,54,41
71072,251,291,1171,2032553,16A754F4,20240927T135000,998063918585446906761718,20241006T080137,20241006T170115,369,276,126,47,53,27
71072,251,295,1163,2031261,16A754F4,20240926T160900,644528001350517372362752,20241006T080001,20241006T170442,393,285,128,47,54,39
71072,251,296,1082,2012153,98B75AF4,20240928T133500,866750332227578512932843,20241006T080001,20241006T170838,395,284,132,36,59,47
71072,251,297,1503,1832137,FEE94F8D,20240926T115100,301194884964517735820888,20241006T080001,20241006T170914,380,275,120,46,56,41
71072,251,3,1015,1832278,8ECFEC90,20240924T130800,745538075346030952112757,20241006T080001,20241006T170133,362,227,93,31,58,32
71072,251,301,1619,2339133,5CDE8C26,20240929T161200,058669432545795608407923,20241006T080001,20241006T170206,365,264,113,41,65,34
71072,251,313,1511,2032381,5CDE8C26,20240929T140200,947558618134379559649051,20241006T080001,20241006T170242,399,284,147,31,42,48
71072,251,314,1600,1832323,8ECFEC90,20240924T184200,462710243218244109405672,20241006T080007,20241006T170313,334,226,99,28,46,41
71072,251,317,1600,1829504,8ECFEC90,20240924T185000,291093406801028759359384,20241006T080001,20241006T170223,333,226,91,42,36,32
71072,251,319,1082,2033105,98B75AF4,20240928T133900,078871403748068216539098,20241006T080121,20241006T170722,398,286,136,31,52,43
71072,251,321,1260,2344355,2222A31B,20240930T140500,301194827027249091149879,20241006T080001,20241006T170313,393,322,176,37,37,52
71072,251,323,1279,2032147,4F3CA5C7,20241002T170500,392003132291590434618658,20241006T080001,20241006T170141,306,265,128,28,35,58
71072,251,324,1082,2009786,98B75AF4,20240928T134200,068770919647653155014963,20241006T080001,20241006T170524,396,305,194,28,33,33
71072,251,4,1015,1830594,8ECFEC90,20240924T132800,755639194347227048239152,20241006T080041,20241006T170101,364,250,112,30,55,32
71072,251,45,1031,1830364,8ECFEC90,20240924T172000,240588074596595939227525,20241006T080124,20241006T170233,294,182,79,21,51,19
71072,251,48,1031,1830805,8ECFEC90,20240924T174500,654629816437530727493816,20241006T080011,20241006T170049,289,193,78,32,45,21
71072,251,6,1015,1830607,8ECFEC90,20240924T134700,846548508756422937244833,20241006T080001,20241006T170630,367,240,99,34,54,41
71072,251,7,1015,1830616,8ECFEC90,20240924T135500,058669821077583662246068,20241006T080001,20241006T170055,368,245,111,41,44,31
71072,251,83,1082,2011095,98B75AF4,20240928T125100,987962878039487517655334,20241006T080601,20241006T170911,396,272,116,33,65,40
71072,251,9,1015,1830954,8ECFEC90,20240924T141300,987962975070128574511109,20241006T080131,20241006T170208,367,249,111,43,49,29
71072,251,91,1090,2032304,98B75AF4,20240928T144000,321396065873888177994037,20241006T080001,20241006T170421,392,255,110,32,61,41
71072,251,93,1090,2032329,98B75AF4,20240928T145300,907154868331767238564342,20241006T080001,20241006T170611,391,278,113,41,58,45
71072,251,94,1090,2010522,98B75AF4,20240928T145600,230487302764300096107596,20241006T080001,20241006T170100,394,284,115,42,59,45
71072,251,95,1090,2029582,98B75AF4,20240928T150000,321396509473632428614272,20241006T080001,20241006T170117,392,267,108,30,51,62
71072,251,96,1090,2011354,98B75AF4,20240928T150300,452609749586977407478643,20241006T080001,20241006T170209,394,250,108,38,53,36
71072,251,97,1090,2032314,98B75AF4,20240928T150700,139477535054931358036185,20241006T080001,20241006T170345,392,272,114,39,67,40
71072,251,99,1090,2033102,98B75AF4,20240928T151500,442508064785199381648905,20241006T080001,20241006T170336,394,267,115,31,61,43
71072,254,480,1600,2252599,F4E870E0,20240928T151200,472844396751017740694208,20241006T080001,20241006T170104,54,32,24,2,1,2
71072,259,731,1678,2227873,917A37E6,20240929T162200,139465089064965058605791,20241006T080001,20241006T170210,401,329,140,67,56,49
71072,3,10,1333,1816221,5451CFE2,20240929T154400,856618926007893262879428,20241006T080001,20241006T170425,369,230,99,38,57,14
71072,3,212,1120,1814722,A3F204F7,20240929T111000,624395096382677765547632,20241006T080242,20241006T170612,369,262,107,56,57,15
71072,3,215,1333,1816489,5451CFE2,20240929T162000,816214610803508508236340,20241006T080001,20241006T170329,363,236,109,42,42,15
71072,3,252,1490,2313289,B2341944,20240927T154200,018234766157730725899895,20241006T080001,20241006T170305,377,283,119,60,49,29
71072,3,351,1520,2074169,BD8B31B1,20240927T150300,078840809286500373551014,20241006T080001,20241006T170350,393,284,131,47,57,20
71072,3,352,1520,2074238,BD8B31B1,20240927T150700,856618693564564225555784,20241006T080001,20241006T170327,373,244,98,34,55,38
71072,3,353,1520,2074425,BD8B31B1,20240927T151100,523385477831903907023867,20241006T080001,20241006T170513,373,244,107,43,56,17
71072,3,356,1520,2070978,BD8B31B1,20240927T152700,624395906941519336130782,20241006T080001,20241006T170606,373,255,111,52,57,11
71072,3,358,1520,2074443,BD8B31B1,20240927T153300,846517341463540877036492,20241006T080001,20241006T170631,381,246,100,42,52,29
71072,3,4,1333,1818910,5451CFE2,20240929T145600,311264755353471117143436,20241006T080001,20241006T170343,372,232,98,36,53,22
71072,3,7,1333,1815300,5451CFE2,20240929T152000,563789339878149441039356,20241006T080001,20241006T170331,367,217,91,40,44,14
71072,3,8,1333,1816541,5451CFE2,20240929T152900,139446013135340571614675,20241006T080001,20241006T170249,360,221,89,43,47,20
71072,328,12,1015,2381233,C58A77F9,20240929T160900,523381816253661846781509,20241006T080001,20241006T170400,380,287,122,54,64,16
71072,328,763,2364,2268267,4B2539EE,20240929T183100,088937462190154145553527,20241006T080001,20241006T171005,312,219,88,59,30,16
71072,328,770,2348,2363411,8CD906F7,20240929T172900,725301845228153590897786,20241006T080001,20241006T170646,337,242,98,51,49,22
