MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,381,609,1368,2078189,CF68CE28,20240928T150300,159609685812675829399826,20241006T080001,20241006T170801,380,264,48,60,108,7
71072,381,98,1082,2388521,EBAF7481,20240930T152300,331427849809426043291868,20241006T080001,20241006T170414,246,176,39,35,75,7
71072,4,34,1040,2032082,A71D6A45,20240925T110800,432487081879595367668179,20241006T080001,20241006T171151,388,249,48,67,100,16
71072,404,371,1422,2095588,55AC3A25,20240930T142200,149594017180051901218751,20241006T080001,20241006T170302,373,298,73,54,123,18
71072,418,174,1155,2087557,8DE3E5D7,20240926T123500,594090618162018826691745,20241006T080001,20241006T170730,391,307,65,65,124,17
71072,418,190,1171,2404319,332BFAD1,20240926T140100,806111527532898028878291,20241006T080001,20241006T170203,383,264,43,62,110,13
71072,418,193,1171,2396931,332BFAD1,20240926T141800,654696706217325696045999,20241006T080059,20241006T170241,393,275,59,57,115,23
71072,418,282,1244,2084700,540B3C37,20240926T144900,846515807503850609139938,20241006T080001,20241006T170645,395,300,58,49,124,27
71072,418,342,1384,2410526,540B3C37,20240925T155800,058636827324105660309887,20241006T080001,20241006T170631,286,197,41,39,80,12
71072,418,491,1244,2087442,540B3C37,20240926T154100,927323025111484689428581,20241006T080001,20241006T170815,399,300,59,51,140,20
71072,418,59,1066,2087486,8DE3E5D7,20240928T150000,109141444913419409028280,20241006T080001,20241006T170921,390,257,68,43,105,14
71072,418,82,1082,2404512,CB6B4791,20240929T101200,917222693778995349857759,20241006T080805,20241006T170638,398,285,50,53,122,30
71072,418,91,1082,2405592,CB6B4791,20240929T105500,806111542367453905834282,20241006T080001,20241006T170613,393,296,44,69,122,24
71072,422,413,1546,1829161,3196676F,20240927T114600,159687916590717992376976,20241006T080001,20241006T170517,117,79,15,17,33,5
71072,422,83,1066,2381439,726D2A41,20240928T141700,684940574689463356227756,20241006T080001,20241006T170411,385,286,53,66,115,15
71072,5,111,1384,2008075,61E55215,20240930T152400,028357291445180292338099,20241006T080151,20241006T170352,290,182,35,38,76,24
71072,5,131,1112,2250917,8A62B12C,20240928T145500,604115018438608653873660,20241006T080001,20241006T170727,356,235,39,48,96,27
71072,5,142,1120,2315348,B5E45F9D,20240927T152100,846539431658313097379407,20241006T080001,20241006T170113,393,243,54,47,100,20
71072,5,144,1120,2304732,B5E45F9D,20240927T154300,836438645857623244814987,20241006T080001,20241006T170353,397,266,46,48,109,34
71072,5,166,1120,2314411,B5E45F9D,20240928T111000,977852143171930183381767,20241006T080040,20241006T170029,396,269,49,50,109,39
71072,5,211,1147,2049909,61E55215,20240930T104900,897044257632035578508780,20241006T080001,20241006T170105,397,268,72,42,109,30
71072,5,212,1147,2050513,61E55215,20240930T105400,048559515047926079089059,20241006T080001,20241006T170206,392,257,45,49,106,37
71072,5,213,1147,2050754,61E55215,20240930T105900,796034379222027507216657,20241006T080001,20241006T170257,391,252,47,47,103,34
71072,5,215,1147,2050563,61E55215,20240930T113400,260781062769075022060834,20241006T080001,20241006T170327,392,259,49,40,107,43
71072,5,219,1147,2049846,61E55215,20240930T115800,230478472066500796408859,20241006T080001,20241006T170142,397,248,46,45,101,44
71072,5,226,1147,2050757,61E55215,20240930T125900,109165085053555819418243,20241006T080001,20241006T170318,393,234,47,37,100,35
71072,5,229,1147,2044447,61E55215,20240930T143600,684923990111963650026538,20241006T080001,20241006T170436,395,258,48,46,106,44
71072,5,231,1155,2314133,536BC1E3,20240928T151300,856640353826463678932987,20241006T080001,20241006T170203,352,230,36,49,98,29
